cust_id,lookalikes
C0001,"[('C0190', 0.968215451295126), ('C0048', 0.9410720811249149), ('C0181', 0.9090457490236504)]"
C0002,"[('C0088', 0.9544024281819798), ('C0134', 0.9273148652196275), ('C0077', 0.9057785872504714)]"
C0003,"[('C0052', 0.9847977904024423), ('C0152', 0.9262643125643457), ('C0031', 0.8908812314103668)]"
C0004,"[('C0165', 0.9738306048704476), ('C0155', 0.9528738305886686), ('C0102', 0.8860377318006581)]"
C0005,"[('C0186', 0.9717374531257306), ('C0146', 0.9493135531177332), ('C0130', 0.8885059275984774)]"
C0006,"[('C0168', 0.978264001321209), ('C0171', 0.9387564178572098), ('C0187', 0.9330226466430889)]"
C0007,"[('C0140', 0.9798101409546568), ('C0115', 0.920161665452419), ('C0020', 0.8783789843420908)]"
C0008,"[('C0139', 0.9135397162249627), ('C0194', 0.8715245494240565), ('C0109', 0.8700104206236067)]"
C0009,"[('C0010', 0.9760669630706748), ('C0198', 0.9520351377564203), ('C0062', 0.9308169602315751)]"
C0010,"[('C0009', 0.9760669630706748), ('C0111', 0.9708504756032534), ('C0103', 0.9552968720724648)]"
C0011,"[('C0137', 0.924372866239144), ('C0169', 0.8683356793200153), ('C0126', 0.8653301225229288)]"
C0012,"[('C0104', 0.9659896786844346), ('C0113', 0.9266666313281656), ('C0195', 0.907840343168503)]"
C0013,"[('C0099', 0.9855644363688846), ('C0108', 0.9198465159324428), ('C0143', 0.8995140718320203)]"
C0014,"[('C0060', 0.9763044912298496), ('C0128', 0.9486668556039544), ('C0097', 0.9375377245659154)]"
C0015,"[('C0036', 0.9834692674657693), ('C0131', 0.9772816942628352), ('C0058', 0.920008056998989)]"
C0016,"[('C0183', 0.9998750016492791), ('C0067', 0.9168655516177493), ('C0042', 0.7522632809302456)]"
C0017,"[('C0075', 0.9692050858710901), ('C0090', 0.8328110250079321), ('C0175', 0.8307538630753362)]"
C0018,"[('C0117', 0.9299131166822665), ('C0079', 0.8379533309920567), ('C0185', 0.8043561319617948)]"
C0019,"[('C0121', 0.8897661206407333), ('C0119', 0.8842101422329567), ('C0172', 0.8819642282202333)]"
C0020,"[('C0140', 0.9186599347557047), ('C0007', 0.8783789843420908), ('C0078', 0.865501025270786)]"
