CustomerID,Cluster
C0001,1
C0002,1
C0003,1
C0004,0
C0005,2
C0006,3
C0007,3
C0008,0
C0009,2
C0010,1
C0011,1
C0012,0
C0013,0
C0014,2
C0015,2
C0016,1
C0017,0
C0018,3
C0019,1
C0020,2
C0021,0
C0022,1
C0023,3
C0024,1
C0025,2
C0026,3
C0027,1
C0028,0
C0029,1
C0030,1
C0031,1
C0032,2
C0033,2
C0034,1
C0035,1
C0036,2
C0037,3
C0038,1
C0039,0
C0040,3
C0041,0
C0042,2
C0043,2
C0044,3
C0045,0
C0046,0
C0047,1
C0048,1
C0049,1
C0050,3
C0051,0
C0052,1
C0053,0
C0054,0
C0055,1
C0056,1
C0057,1
C0058,2
C0059,0
C0060,2
C0061,2
C0062,2
C0063,2
C0064,3
C0065,0
C0066,3
C0067,1
C0068,0
C0069,1
C0070,3
C0071,2
C0072,1
C0073,2
C0074,3
C0075,0
C0076,1
C0077,2
C0078,2
C0079,3
C0080,2
C0081,1
C0082,0
C0083,2
C0084,0
C0085,3
C0086,1
C0087,0
C0088,1
C0089,3
C0090,1
C0091,1
C0092,1
C0093,0
C0094,2
C0095,2
C0096,3
C0097,2
C0098,1
C0099,0
C0100,3
C0101,0
C0102,0
C0103,1
C0104,0
C0105,3
C0106,1
C0107,1
C0108,0
C0109,0
C0110,2
C0111,1
C0112,2
C0113,0
C0114,3
C0115,3
C0116,1
C0117,3
C0118,1
C0119,2
C0120,3
C0121,2
C0122,0
C0123,2
C0124,0
C0125,1
C0126,1
C0127,1
C0128,2
C0129,2
C0130,2
C0131,2
C0132,2
C0133,1
C0134,1
C0135,3
C0136,0
C0137,1
C0138,3
C0139,1
C0140,2
C0141,0
C0142,1
C0143,0
C0144,2
C0145,0
C0146,1
C0147,1
C0148,3
C0149,3
C0150,2
C0151,2
C0152,1
C0153,0
C0154,1
C0155,0
C0156,0
C0157,1
C0158,3
C0159,2
C0160,1
C0161,1
C0162,0
C0163,0
C0164,1
C0165,0
C0166,1
C0167,2
C0168,3
C0169,0
C0170,3
C0171,3
C0172,1
C0173,0
C0174,1
C0175,0
C0176,1
C0177,1
C0178,1
C0179,1
C0181,1
C0182,3
C0183,1
C0184,1
C0185,3
C0186,2
C0187,3
C0188,0
C0189,1
C0190,1
C0191,1
C0192,2
C0193,1
C0194,1
C0195,1
C0196,3
C0197,2
C0198,2
C0199,2
C0200,3
